Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk
Jackson-Kelley,Multi-Cloud Management,12 months,HIPAA,99.9%,30,37017,1710,38727,0.0617646825339566,0.0968921611641681,0.23590086669828836
Jones and Sons,Cloud Optimization,24 months,HIPAA,99.9%,30,23743,4638,28381,0.11232529288450754,0.31455711602562786,0.633327132365083
Patterson Inc,Multi-Cloud Management,12 months,FedRAMP,99.99%,45,25149,2984,28133,0.009555465372648947,0.8758198420515261,0.8253151430303431
"Rogers, Robinson and Gonzalez",AI-Powered Security,12 months,HIPAA,99.9%,60,21173,1973,23146,0.012409771098150774,0.523372147470971,0.8839691294472977
"Oliver, Washington and Merritt",AI-Powered Security,12 months,ISO 27001,99.99%,90,19014,2104,21118,0.08795760331393476,0.6329886141924184,0.8037054240166173
Ayala PLC,AI-Powered Security,24 months,HIPAA,99.99%,30,22549,4117,26666,0.029367571029060728,0.8130512071433081,0.8448056670360005
"Henderson, Allen and Price",Cloud Optimization,12 months,FedRAMP,99.95%,30,15554,2403,17957,0.07539740019334233,0.6561370440820199,0.4154820866996033
Jones-Short,AI-Powered Security,12 months,FedRAMP,99.99%,60,21624,2847,24471,0.13239274128272616,0.22269401172941883,0.11291033885887591
Cole PLC,Multi-Cloud Management,36 months,ISO 27001,99.9%,30,30150,4239,34389,0.12689833160808472,0.3130092191968933,0.5055459379681642
Heath-Orr,AI-Powered Security,12 months,FedRAMP,99.9%,45,31746,4594,36340,0.08917475486246378,0.8838572635999593,0.9106777399183047
"Rhodes, Bailey and Flowers",Cloud Optimization,24 months,SOC2,99.99%,45,25806,1521,27327,0.10602665361436475,0.9374671878137444,0.18693534504167642
Anderson Inc,Cloud Optimization,24 months,SOC2,99.9%,30,17494,3465,20959,0.04532650971189863,0.8893277820194403,0.7651696096585132
Gilbert Group,AI-Powered Security,36 months,SOC2,99.99%,90,33063,946,34009,0.05175309999156999,0.5222894733111719,0.35997351817666945
Dunlap-Bailey,Cloud Optimization,24 months,HIPAA,99.9%,45,15688,1289,16977,0.07598980442751892,0.890466257624391,0.4339793511871648
Thomas-Conner,AI-Powered Security,24 months,FedRAMP,99.95%,60,27321,4850,32171,0.12652237392214286,0.3612227352342863,0.2604875790573491
Adams-Smith,Cloud Optimization,36 months,ISO 27001,99.95%,60,28044,1876,29920,0.13080801470692402,0.3937204065321951,0.17949462724264809
"White, Sanchez and Evans",Cloud Optimization,12 months,FedRAMP,99.99%,45,29560,1840,31400,0.013242374787737465,0.20194086451198257,0.15467530312791267
"Morse, Robinson and Sullivan",Cloud Optimization,12 months,SOC2,99.95%,30,23126,3781,26907,0.0183168932048991,0.45683543031289076,0.1333424636440954
"Conway, Saunders and Vargas",AI-Powered Security,24 months,FedRAMP,99.99%,90,33688,701,34389,0.0026384874318786888,0.2513740072904138,0.3093267742168119
Benson Inc,Cloud Optimization,24 months,SOC2,99.9%,30,18963,1193,20156,0.14483276619676952,0.281535111173546,0.9085935879163759
Hancock-Becker,Multi-Cloud Management,24 months,FedRAMP,99.95%,45,33845,2791,36636,0.06807568218854707,0.8793264990158236,0.8959344962919021
Turner-Mason,Cloud Optimization,24 months,ISO 27001,99.9%,45,18352,2178,20530,0.09780219230086969,0.7081516877406011,0.7786746648941558
Moore and Sons,Cloud Optimization,24 months,SOC2,99.95%,30,29118,3598,32716,0.11472560956541285,0.4052567805721077,0.7482753743972568
"Durham, Anderson and Finley",Multi-Cloud Management,24 months,SOC2,99.9%,90,22257,2697,24954,0.07820921043944026,0.6832766104223897,0.2694384907480917
Nichols Ltd,Multi-Cloud Management,12 months,HIPAA,99.9%,90,35416,3394,38810,0.12545940109259937,0.4544035588198637,0.5909550659404736
Wright and Sons,Cloud Optimization,36 months,ISO 27001,99.95%,45,23294,1583,24877,0.10240477571637552,0.3928077169525388,0.39485367440367836
Mcclure LLC,AI-Powered Security,24 months,ISO 27001,99.9%,30,32455,2496,34951,0.010266938239357948,0.44750027252365454,0.1640217446287633
Marshall-Acosta,Multi-Cloud Management,36 months,ISO 27001,99.9%,45,20054,4866,24920,0.07532400837342222,0.7185332929700363,0.15616495898756877
Oliver Ltd,Cloud Optimization,24 months,FedRAMP,99.95%,90,18613,4918,23531,0.022458834621928547,0.7826629268961081,0.588110053312958
"Harrington, Avery and Brooks",AI-Powered Security,24 months,HIPAA,99.99%,90,29108,1794,30902,0.10941659824898246,0.23756584338348485,0.34247255623582884
Davis-Blair,Multi-Cloud Management,24 months,ISO 27001,99.95%,45,38162,4394,42556,0.012330238422290052,0.3283577851330193,0.42437676701387816
Stephenson Group,AI-Powered Security,24 months,ISO 27001,99.99%,45,19545,4621,24166,0.09713677362102885,0.966276251897396,0.5103754066288622
"Johnson, Patterson and Alexander",Multi-Cloud Management,36 months,SOC2,99.99%,45,36990,3076,40066,0.14304050516261915,0.6504833499946875,0.6731133023099543
"Bryant, Romero and Strickland",AI-Powered Security,24 months,HIPAA,99.95%,60,25699,2720,28419,0.13583124917262945,0.5448158874519706,0.9244943585302919
"Christensen, Hall and Evans",Cloud Optimization,24 months,HIPAA,99.9%,45,21655,2309,23964,0.07065436261565651,0.45944151187365134,0.6228761490206036
"Ibarra, Mcdaniel and Hughes",Multi-Cloud Management,36 months,ISO 27001,99.95%,30,22297,1536,23833,0.026655669179522105,0.7871228629394419,0.8358513211799543
Nichols and Sons,Multi-Cloud Management,36 months,SOC2,99.95%,90,21925,1537,23462,0.016272188634962353,0.9612792423673864,0.7501548237949217
Bradshaw-Rivas,Cloud Optimization,12 months,FedRAMP,99.99%,45,29601,3871,33472,0.14605693524626026,0.4721967027581214,0.3935958952735982
"Stanton, Mcdonald and Cox",AI-Powered Security,12 months,HIPAA,99.95%,30,26951,1903,28854,0.09772141318936049,0.516676392605342,0.991874544682311
Russell PLC,Cloud Optimization,36 months,SOC2,99.95%,30,17909,1178,19087,0.05745575256273927,0.1555400915004873,0.963687165956651
Ward-Haney,Cloud Optimization,36 months,HIPAA,99.95%,90,25935,4284,30219,0.00038303824020956,0.5112067433256329,0.19320448488185138
Scott-Taylor,Cloud Optimization,36 months,FedRAMP,99.95%,60,18726,4129,22855,0.11069795734127424,0.919934731781395,0.04193801430256716
Benson-Cummings,AI-Powered Security,24 months,SOC2,99.95%,30,20349,3193,23542,0.03320528392379303,0.15481124059682594,0.30236903377593827
"Eaton, Torres and Wright",Cloud Optimization,12 months,HIPAA,99.9%,45,22802,4835,27637,0.10478974300905589,0.5429465845718413,0.6666474656992775
"Macdonald, Long and Hayes",AI-Powered Security,12 months,SOC2,99.95%,60,33565,2574,36139,0.04063290825395621,0.043345619927325774,0.3644268113352511
"Brown, Gould and Stewart",Multi-Cloud Management,12 months,FedRAMP,99.9%,60,23240,1295,24535,0.09781709679356222,0.05278335051569116,0.1802715360183761
Kerr-Johnson,Multi-Cloud Management,12 months,SOC2,99.9%,45,37824,1898,39722,0.10838311449242342,0.6839803325601894,0.9633933783698491
"Carrillo, Melendez and Ramirez",AI-Powered Security,36 months,SOC2,99.9%,60,29611,4030,33641,0.07068554892005548,0.8886685993238188,0.4683054873786342
"Bush, Jackson and Nguyen",Cloud Optimization,12 months,FedRAMP,99.99%,45,19473,3695,23168,0.032075288350069585,0.5718099946076837,0.6973875615692153
Tran-Mckinney,Multi-Cloud Management,12 months,HIPAA,99.9%,30,31766,4918,36684,0.13549720013492786,0.48331822155225335,0.5739453222006694
Gray-Stevens,Cloud Optimization,12 months,ISO 27001,99.99%,90,20176,3893,24069,0.09091865833244665,0.48917996154703625,0.09597569669611294
Smith and Sons,Multi-Cloud Management,24 months,SOC2,99.9%,45,20003,1102,21105,0.0972635897657368,0.2899583218037868,0.8453351220226424
"Olson, Nunez and Kaiser",AI-Powered Security,12 months,SOC2,99.99%,30,29701,3751,33452,0.05377990250547658,0.1405791286630823,0.32566673227809406
"Price, Rodriguez and Lopez",Multi-Cloud Management,12 months,HIPAA,99.99%,30,31482,3848,35330,0.13070360118483115,0.511442833917623,0.5652263811708307
"Rhodes, Bell and Taylor",Multi-Cloud Management,12 months,FedRAMP,99.99%,60,20170,3309,23479,0.12531419419018225,0.6194215539345466,0.7487236352966626
"Gordon, Barry and Pearson",AI-Powered Security,36 months,ISO 27001,99.95%,45,24798,4287,29085,0.08810753929029706,0.3107616953724214,0.9991495667786588
Walker-Wilcox,Multi-Cloud Management,36 months,FedRAMP,99.99%,45,29825,4501,34326,0.025671247461909623,0.8295844713634313,0.5515876608066341
"Bonilla, Cuevas and Floyd",Multi-Cloud Management,24 months,FedRAMP,99.9%,30,31646,2864,34510,0.04456364531704812,0.5772022361259574,0.5446880934339766
Dean Ltd,Cloud Optimization,24 months,ISO 27001,99.95%,90,23623,3222,26845,0.11739311836155139,0.6638101052502828,0.6832083095475865
"Johnson, Carlson and Underwood",AI-Powered Security,36 months,ISO 27001,99.9%,30,34653,1623,36276,0.02231122648072462,0.5767897084972363,0.7394114554566915
"Henry, Bishop and Young",Cloud Optimization,24 months,ISO 27001,99.95%,90,25633,3797,29430,0.07534528577466694,0.19554839835610216,0.7300109887745778
Reed-Smith,Multi-Cloud Management,24 months,FedRAMP,99.95%,60,37864,2245,40109,0.06830375819926864,0.26587848538509784,0.4082346208219565
"Moore, Leon and Bond",Multi-Cloud Management,24 months,FedRAMP,99.95%,60,24158,1008,25166,0.13818226501594283,0.1832933635594216,0.8030193822993665
"Harvey, Pollard and Ramos",AI-Powered Security,12 months,FedRAMP,99.95%,90,21464,2287,23751,0.10451115003144762,0.9006272945948973,0.32025173037018106
Haynes-Cox,AI-Powered Security,36 months,SOC2,99.9%,90,31068,2114,33182,0.08064369011210319,0.5168585255373174,0.9050840377609537
Taylor-Macias,Multi-Cloud Management,36 months,ISO 27001,99.99%,30,27089,739,27828,0.00046865244710574404,0.874771362503336,0.8769210069103045
Thomas PLC,Cloud Optimization,24 months,ISO 27001,99.99%,60,25746,4000,29746,0.09507793513253136,0.4272471962317044,0.8993665289209269
Jones Inc,Cloud Optimization,36 months,SOC2,99.99%,90,22077,1249,23326,0.0658750785831489,0.3539108246830671,0.7543592543561255
Payne-Mack,AI-Powered Security,12 months,ISO 27001,99.95%,30,26308,2981,29289,0.0553201327353446,0.20508135776637493,0.7104198012406638
Palmer LLC,Cloud Optimization,24 months,FedRAMP,99.95%,60,26246,1774,28020,0.09721768845312519,0.9082886234873289,0.41668038043143796
Stark Inc,Cloud Optimization,36 months,HIPAA,99.99%,30,24542,1118,25660,0.054498522536062716,0.2913074462744878,0.6015346226306262
Henry-Kelly,Cloud Optimization,12 months,ISO 27001,99.99%,30,26851,1111,27962,0.006388643095546964,0.969235997267109,0.7058620608962562
Taylor Group,AI-Powered Security,12 months,HIPAA,99.95%,90,27243,2917,30160,0.08769901547576421,0.0666655512758233,0.6514591857160702
Smith Inc,AI-Powered Security,12 months,SOC2,99.9%,60,19970,4219,24189,0.01060022854621177,0.6817831212123454,0.6867166596048486
Mendoza Inc,AI-Powered Security,12 months,SOC2,99.9%,30,32640,4934,37574,0.049811286327200395,0.06224372615878093,0.521872972764897
Brown LLC,AI-Powered Security,12 months,ISO 27001,99.9%,90,19751,4721,24472,0.14251851831860482,0.4287161758478628,0.07820565691109471
"Ryan, Carlson and Hudson",AI-Powered Security,36 months,FedRAMP,99.95%,60,32542,4567,37109,0.1348318560868987,0.7735068488009461,0.87120103629169
Bryant-Mcfarland,Cloud Optimization,12 months,HIPAA,99.99%,90,26310,636,26946,0.12830215030254338,0.9062673972898302,0.8504522733622586
Martin-Howe,Cloud Optimization,24 months,FedRAMP,99.99%,45,17605,3587,21192,0.021197246010413517,0.8847569102624576,0.5302219865915261
"Rios, Ibarra and Kelly",Cloud Optimization,36 months,SOC2,99.9%,45,25199,3363,28562,0.1432166328637823,0.7062281699579737,0.9939119882317821
Vasquez-Brown,Cloud Optimization,36 months,SOC2,99.9%,60,19510,893,20403,0.015200322619889545,0.38666455680200384,0.8802156244855679
Romero-Gonzales,AI-Powered Security,24 months,ISO 27001,99.99%,30,31879,3918,35797,0.10755225564959121,0.04537142227382318,0.5573119719840234
Lopez-Brown,Multi-Cloud Management,36 months,HIPAA,99.99%,60,34785,2006,36791,0.1404287311672815,0.8103325075758355,0.15624014610510262
Richardson-Fernandez,Multi-Cloud Management,12 months,HIPAA,99.99%,90,27398,4510,31908,0.11156713952172842,0.5909999590859538,0.539418192753467
"Davis, Walker and Park",Cloud Optimization,24 months,HIPAA,99.95%,45,27569,4410,31979,0.03451361880600593,0.6113530307751418,0.5228275273109287
Hernandez-Carpenter,AI-Powered Security,36 months,ISO 27001,99.9%,90,23779,1758,25537,0.08766733564672691,0.6065255057964909,0.6192602137877214
Melton-Gregory,Cloud Optimization,12 months,SOC2,99.9%,90,28706,4002,32708,0.04249916079174396,0.9781531220840393,0.2631502596023292
Snyder PLC,Cloud Optimization,12 months,HIPAA,99.99%,30,17068,3991,21059,0.09968691420135596,0.9416892084419491,0.19965968664897826
"Harper, Doyle and Smith",AI-Powered Security,36 months,ISO 27001,99.95%,90,29622,1656,31278,0.14364847115830462,0.8225837321614322,0.6615820213755933
Johnson-Freeman,AI-Powered Security,36 months,HIPAA,99.95%,90,21408,1661,23069,0.07617751090763424,0.6882280421776911,0.9790293594251391
Rivera and Sons,Multi-Cloud Management,36 months,ISO 27001,99.95%,60,32579,2889,35468,0.006022165504311055,0.1667455686259366,0.4532846463376582
"Huang, Vargas and Glenn",AI-Powered Security,24 months,HIPAA,99.95%,30,25585,4622,30207,0.020873225177733563,0.9728128614702146,0.4432811764267336
Parsons-Mcknight,Multi-Cloud Management,24 months,SOC2,99.9%,60,21782,2369,24151,0.011821004706811111,0.3490187125424431,0.9582856281444737
Douglas and Sons,Multi-Cloud Management,12 months,ISO 27001,99.99%,60,26032,2325,28357,0.02441236616735709,0.20208431497743884,0.8896013951243946
Mitchell-Reyes,Multi-Cloud Management,12 months,ISO 27001,99.99%,60,28806,1504,30310,0.03351409751245038,0.30967020009015955,0.7006243581623011
Oneill-Rodriguez,AI-Powered Security,36 months,HIPAA,99.99%,30,30161,3424,33585,0.02481624600283166,0.6491892846364932,0.24423946808817598
Cruz-Hall,Multi-Cloud Management,24 months,HIPAA,99.99%,45,31855,1859,33714,0.024062655814891386,0.21317852922328318,0.6250225476519636
Smith-Gonzalez,Cloud Optimization,24 months,ISO 27001,99.95%,60,29433,740,30173,0.036905283932134485,0.8772802313513668,0.10389135441431396
"Harris, Bishop and Wright",Multi-Cloud Management,12 months,SOC2,99.95%,60,21967,642,22609,0.08429628589706237,0.5378282791267486,0.5910239881953218
Walker-Murphy,Cloud Optimization,24 months,HIPAA,99.99%,90,23051,2519,25570,0.06576139985389044,0.3811433152929786,0.9328120149702568
Stephens Ltd,Multi-Cloud Management,12 months,ISO 27001,99.99%,30,21795,753,22548,0.1453263610647587,0.31942209871420446,0.09325486978537079
"Walsh, Reynolds and Mcdonald",Multi-Cloud Management,36 months,ISO 27001,99.95%,30,25983,1593,27576,0.11839845155417453,0.3170887872741256,0.8537631020019776
"Dyer, Higgins and Willis",Cloud Optimization,12 months,HIPAA,99.95%,90,19729,2063,21792,0.12722044339547672,0.4835070745776653,0.8327230977971465
Simpson-Garcia,AI-Powered Security,36 months,FedRAMP,99.95%,60,33428,4154,37582,0.027694081010597303,0.7600358554624315,0.20678155932412012
Hansen-Jensen,Multi-Cloud Management,12 months,SOC2,99.9%,45,26829,3228,30057,0.04273947082876714,0.64720913449491,0.1608833677420589
Brennan-Keith,AI-Powered Security,24 months,FedRAMP,99.9%,90,31663,1484,33147,0.012679892294035855,0.46939437853132904,0.9329450353241441
Robinson-Powell,Multi-Cloud Management,24 months,SOC2,99.9%,45,31896,3630,35526,0.0015850308110720024,0.5778716768778214,0.961790747626224
"Faulkner, Roberson and Vaughan",AI-Powered Security,24 months,FedRAMP,99.9%,45,32816,4310,37126,0.08553721874210993,0.23665537947971382,0.14337567106823956
"Evans, Adams and Barnes",Cloud Optimization,36 months,FedRAMP,99.9%,90,22872,2577,25449,0.09642355324131476,0.10303713097510048,0.9044637585523287
Sparks PLC,AI-Powered Security,12 months,FedRAMP,99.9%,90,31613,576,32189,0.0066778277117399915,0.9561656838882706,0.42415968300598916
"Mercer, Ritter and Blair",Multi-Cloud Management,12 months,ISO 27001,99.95%,30,31862,3611,35473,0.11206293140922376,0.23132831230695827,0.3340007188265939
Vance-Smith,AI-Powered Security,12 months,SOC2,99.9%,60,30379,1502,31881,0.03800340936721602,0.6151753496606469,0.45588942413424094
Dickson PLC,Multi-Cloud Management,24 months,ISO 27001,99.95%,90,33481,3422,36903,0.054100449646395404,0.5554413024408263,0.7208252280828008
Mcpherson-Sullivan,Cloud Optimization,24 months,ISO 27001,99.99%,45,26518,3922,30440,0.04134530550242918,0.22123534791790211,0.5273935140878472
"Fischer, Moore and Simmons",AI-Powered Security,12 months,FedRAMP,99.95%,45,34518,4414,38932,0.04961087153489478,0.5635515809671046,0.8523740974825584
"Tran, Velez and Brown",Cloud Optimization,24 months,ISO 27001,99.99%,30,27655,1506,29161,0.1408810525597526,0.6972743463759475,0.050832664213348644
Holmes-Black,AI-Powered Security,12 months,SOC2,99.9%,45,20661,3478,24139,0.016841940875861154,0.44029004600869615,0.9318832818364259
Wiley LLC,Multi-Cloud Management,12 months,HIPAA,99.9%,30,33309,3161,36470,0.14291892406243692,0.571092608986254,0.30664832142861786
Adams-Cortez,Multi-Cloud Management,24 months,FedRAMP,99.99%,60,20364,2473,22837,0.01527560123996991,0.7289330117180371,0.18056501667522473
Parker LLC,Cloud Optimization,24 months,SOC2,99.95%,60,22377,1169,23546,0.09409394513622596,0.1526968104465608,0.17245408644846083
Davis-Parker,AI-Powered Security,36 months,HIPAA,99.9%,60,22278,4601,26879,0.0006090879430313501,0.71983846135049,0.42553429772119955
"Smith, Johnson and Young",Cloud Optimization,36 months,ISO 27001,99.9%,90,18557,1574,20131,0.09630203770128618,0.4615289585400517,0.3052643016074359
Johnson-Watson,AI-Powered Security,36 months,HIPAA,99.9%,45,32450,1995,34445,0.010402750652789493,0.05267315620545088,0.2929107655380726
Sloan and Sons,Cloud Optimization,24 months,HIPAA,99.9%,90,18461,2157,20618,0.003908332919260515,0.8857207804211108,0.8860190180435904
"Mcdonald, Williams and Ferrell",Cloud Optimization,24 months,SOC2,99.9%,90,19043,1097,20140,0.07857834105642339,0.514502164857092,0.46810204444960535
"Yang, Jones and Lyons",AI-Powered Security,12 months,SOC2,99.95%,60,21280,3263,24543,0.002495919630292542,0.7515530563490262,0.23842370049535555
Martinez PLC,AI-Powered Security,24 months,HIPAA,99.95%,45,34747,1567,36314,0.08059653885054158,0.9232258784862326,0.5963798327023657
"Stewart, Johnson and Gray",AI-Powered Security,12 months,HIPAA,99.95%,60,18193,4958,23151,0.08743290023208265,0.6117379058424717,0.7287092484753526
Wilson Inc,Multi-Cloud Management,12 months,HIPAA,99.99%,30,25845,3173,29018,0.07889262968184087,0.25286730032814053,0.15460753673704164
Anderson-Sanchez,AI-Powered Security,24 months,HIPAA,99.95%,60,29201,593,29794,0.001465834712922187,0.7802065722011909,0.8198821312594476
Jones LLC,AI-Powered Security,36 months,HIPAA,99.95%,45,19445,2330,21775,0.07603206660483044,0.7327402143357924,0.19807712005863176
Park-Clark,Cloud Optimization,24 months,FedRAMP,99.99%,45,19542,4418,23960,0.05835910644279788,0.7516205508448137,0.38677020860295763
Fields Group,Multi-Cloud Management,12 months,HIPAA,99.99%,60,29749,4711,34460,0.1483974275263815,0.19651028880791876,0.5867290784146886
Turner Inc,Multi-Cloud Management,12 months,ISO 27001,99.95%,60,24655,2574,27229,0.027310126736143435,0.96086281628198,0.7150318415582864
Odonnell Group,Cloud Optimization,12 months,ISO 27001,99.9%,90,17077,3911,20988,0.04862316044432597,0.5018981804026647,0.6239070328578965
"Brown, Mathis and Bowman",Multi-Cloud Management,36 months,FedRAMP,99.95%,90,36385,2433,38818,0.12146760401074708,0.243495259185182,0.8831759706143232
"Simpson, Carr and Hudson",Cloud Optimization,36 months,SOC2,99.99%,90,21953,2752,24705,0.055205819867535845,0.4771776091112029,0.43248000042192736
Harris Inc,AI-Powered Security,24 months,SOC2,99.95%,60,33778,4723,38501,0.05287906900176325,0.8897247409999692,0.3950567736032504
Jones-Eaton,Cloud Optimization,36 months,ISO 27001,99.99%,45,25555,1541,27096,0.09127366298454252,0.897774068255051,0.40145100761237196
"Taylor, Bennett and Jones",AI-Powered Security,12 months,HIPAA,99.99%,60,21140,946,22086,0.11556174550669097,0.8659659535008205,0.9447367902839263
"Sullivan, Livingston and Garner",Cloud Optimization,12 months,FedRAMP,99.99%,45,16111,3679,19790,0.09153876827853469,0.1699962967480012,0.9051338748441857
"Payne, Turner and Crane",Multi-Cloud Management,24 months,ISO 27001,99.99%,30,29600,3421,33021,0.002632134423397553,0.7200515995351068,0.6179035655664339
Henderson Group,AI-Powered Security,12 months,HIPAA,99.9%,45,27028,3057,30085,0.0549184468833005,0.4378258116344047,0.5679205032734082
"Joseph, Miller and Goodwin",AI-Powered Security,36 months,ISO 27001,99.95%,60,34099,1304,35403,0.06754192242968111,0.46102049401399825,0.4693820505825953
Knapp-Gutierrez,AI-Powered Security,24 months,SOC2,99.99%,30,25428,2553,27981,0.1115987579069503,0.4861646884536487,0.3177475645481276
Snyder Ltd,Cloud Optimization,36 months,HIPAA,99.9%,45,29684,727,30411,0.097657667546692,0.217460343603895,0.2038194937165113
Jones-Vance,Cloud Optimization,36 months,ISO 27001,99.99%,45,25605,3205,28810,0.12227748484391292,0.35917265055930025,0.4799564934633127
Fisher-Hill,AI-Powered Security,24 months,FedRAMP,99.99%,45,18759,4789,23548,0.05253028879694525,0.7719062434000892,0.6224833190290374
"Gonzalez, Gutierrez and Moore",AI-Powered Security,36 months,FedRAMP,99.9%,60,29213,2790,32003,0.06120212504974031,0.981808022717827,0.3795936438224399
"Perkins, Phillips and Smith",Multi-Cloud Management,24 months,FedRAMP,99.9%,45,37905,2123,40028,0.07475369014416566,0.06470419683985118,0.14429740227527943
Cook and Sons,Cloud Optimization,24 months,FedRAMP,99.9%,60,26817,668,27485,0.021171270221361543,0.38725904025443403,0.4469755694027391
Meyers-Fry,Cloud Optimization,24 months,FedRAMP,99.95%,45,24055,639,24694,0.1463684004516172,0.3711929866485244,0.022561650757327634
"Moreno, Jimenez and Mcdonald",AI-Powered Security,24 months,SOC2,99.9%,90,30164,3334,33498,0.13853141354043388,0.9958862757597158,0.5998412211431142
Contreras-Myers,AI-Powered Security,36 months,HIPAA,99.95%,90,28519,4619,33138,0.08021095731202665,0.6937260614624422,0.8964852726424966
Guerrero LLC,Cloud Optimization,36 months,FedRAMP,99.95%,90,21031,2243,23274,0.07688759504013497,0.321179258967464,0.4231728395267549
Meadows-Santos,Cloud Optimization,36 months,SOC2,99.9%,60,22847,4781,27628,0.04777444698958179,0.5275259236745986,0.9466317459653377
Stokes Inc,Cloud Optimization,12 months,ISO 27001,99.95%,45,17875,4579,22454,0.02089637748981699,0.13483415145221167,0.7115058273781953
"Hess, Green and Daniels",Multi-Cloud Management,36 months,SOC2,99.95%,60,33805,3714,37519,0.030813488489289408,0.10281438623105355,0.31256973352295714
"Villarreal, Moreno and Velez",Cloud Optimization,36 months,SOC2,99.99%,90,29939,2357,32296,0.1334234985599295,0.6903933385936837,0.14542285909543984
Vasquez Inc,Multi-Cloud Management,36 months,SOC2,99.99%,90,22261,4117,26378,0.04967646211516017,0.9962715678032041,0.35563332180735574
Stewart-Kennedy,AI-Powered Security,12 months,SOC2,99.9%,90,18997,2819,21816,0.020895880000913684,0.0046408254980069286,0.009544292582375213
Parrish-Braun,Multi-Cloud Management,24 months,HIPAA,99.99%,30,37105,1654,38759,0.1401563519460631,0.240548848214587,0.27402469403848584
Ramsey-Hernandez,AI-Powered Security,24 months,SOC2,99.99%,60,34205,1965,36170,0.07583125851446092,0.6942318788231372,0.172754646011967
"Gonzalez, Merritt and Foster",Cloud Optimization,24 months,ISO 27001,99.9%,90,29468,2213,31681,0.06104024619534931,0.4413241709850946,0.06064999053341902
Jones-Jones,Cloud Optimization,24 months,ISO 27001,99.95%,45,24297,4209,28506,0.05018366892466248,0.6950719519345159,0.7920507904502913
"Sullivan, Bailey and Jefferson",Multi-Cloud Management,12 months,HIPAA,99.95%,60,39889,3820,43709,0.09647421767450125,0.394237736129301,0.4681777628802003
Martin-Guzman,Cloud Optimization,24 months,FedRAMP,99.9%,90,16494,3846,20340,0.14225455965322203,0.3612496945736047,0.5186462894216692
Evans Ltd,Cloud Optimization,24 months,HIPAA,99.9%,45,28081,708,28789,0.010516445890926278,0.2069531519486293,0.3353742848795249
"Patterson, Johnson and Murphy",Cloud Optimization,36 months,FedRAMP,99.95%,60,15133,1138,16271,0.0676014381512475,0.01297667065023922,0.77052527930763
Carroll-Jones,Cloud Optimization,24 months,FedRAMP,99.95%,60,25387,1475,26862,0.09256147950093395,0.5534899305004339,0.08845574068553652
Farmer-Lewis,Multi-Cloud Management,12 months,HIPAA,99.99%,30,24049,3142,27191,0.134619472537117,0.05315408543707967,0.6094464071756721
Lopez Ltd,Multi-Cloud Management,36 months,ISO 27001,99.95%,45,29993,3773,33766,0.10918535746688891,0.9689407105075997,0.5695829577830928
"Andrews, Fox and Price",AI-Powered Security,36 months,ISO 27001,99.9%,90,24356,3960,28316,0.03979861050970008,0.6523192015535509,0.5590108925968418
Ramsey-Perez,Multi-Cloud Management,12 months,ISO 27001,99.9%,30,25163,1920,27083,0.07464573177565376,0.5949302374008253,0.8406006225041451
Robbins-Gonzalez,AI-Powered Security,12 months,ISO 27001,99.95%,45,27142,524,27666,0.105882992734194,0.14650334050541858,0.7850980089510253
Mcdonald-Gutierrez,Cloud Optimization,12 months,SOC2,99.9%,60,15830,3582,19412,0.0666577539957084,0.04533130204799407,0.3616163412818324
"Lindsey, Evans and Caldwell",Cloud Optimization,12 months,SOC2,99.95%,30,15254,2614,17868,0.12456893856440421,0.23680177006045067,0.2210637550851846
"Leon, Fernandez and Perez",AI-Powered Security,12 months,ISO 27001,99.95%,45,34868,4634,39502,0.03956766180852235,0.7005988109481615,0.951733109024426
Lucas-Moore,Multi-Cloud Management,24 months,SOC2,99.99%,30,28796,1468,30264,0.0959402622769674,0.4557062844202975,0.45777935126563984
Pierce Inc,AI-Powered Security,24 months,ISO 27001,99.95%,45,32866,2329,35195,0.08627329936919,0.14898275840999242,0.26252757090929135
"Conner, Juarez and King",Cloud Optimization,24 months,ISO 27001,99.9%,60,17939,588,18527,0.08518358224581078,0.8351261633432041,0.192518871819798
Ellis-Avery,AI-Powered Security,12 months,ISO 27001,99.95%,45,34131,4933,39064,0.02988396639839623,0.9074710268385046,0.09646010378976966
"House, Rogers and Osborne",Cloud Optimization,12 months,ISO 27001,99.99%,30,24183,4264,28447,0.07592551284828038,0.5291631009556624,0.5144464281353097
Haynes-Ray,Cloud Optimization,24 months,SOC2,99.9%,60,25996,3892,29888,0.13155703869116242,0.38106214678556605,0.589923178273815
Fisher-Moran,Multi-Cloud Management,36 months,ISO 27001,99.95%,60,31522,2622,34144,0.03792441677933104,0.35107623874323823,0.8850841193734466
"Wu, Chaney and Snyder",Multi-Cloud Management,36 months,SOC2,99.9%,90,25339,2944,28283,0.04229374907139682,0.28788892937984245,0.9060194557764881
Morgan-Vargas,Multi-Cloud Management,24 months,FedRAMP,99.95%,45,23302,2779,26081,0.11772558746739528,0.11211364833819615,0.3810706764344223
"Edwards, Stokes and Hawkins",Multi-Cloud Management,12 months,HIPAA,99.99%,90,24354,3953,28307,0.09035462611912082,0.19380424246791583,0.19658658758196024
